location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,2,3,3,142.5,18:44:57.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,3,8,1,266,18:47:33.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,3,8,2,304.75,18:47:26.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,3,8,3,185.25,18:47:39.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,1,4,1,293,18:32:14.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,1,4,2,351,18:32:10.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,1,4,3,283.25,18:32:18.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,2,5,1,491.75,18:31:42.1,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,2,5,2,497.75,18:31:35.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,2,5,3,356.75,18:31:41.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,3,9,1,299.5,18:32:28.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,3,9,2,408.25,18:32:15.1,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,2,3,9,3,399.5,18:32:32.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,1,1,1,,,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,1,1,2,,,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,1,1,3,,,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,2,2,1,188,17:45:58.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,2,2,2,412.75,17:45:58.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,2,2,3,348.5,17:45:41.1,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,3,7,1,488,18:41:58.1,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,3,7,2,562.5,18:42:04.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,3,3,7,3,405.25,18:41:45.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,1,4R,1,111.75,17:40:36.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,1,4R,2,138.25,17:38:55.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,1,4R,3,210.75,17:39:17.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,2,3R,1,225.25,17:43:58.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,2,3R,2,89.75,17:45:35.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,2,3R,3,54.75,17:44:50.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,3,5Y,1,179.75,17:39:38.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,3,5Y,2,67.5,17:39:36.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,1,3,5Y,3,165.5,17:39:08.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,1,8R,1,35.25,17:56:59.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,1,8R,2,42.5,17:57:16.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,1,8R,3,101.25,17:57:22.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,2,7Y,1,123.75,17:58:51.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,2,7Y,2,98.75,17:59:31.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,2,7Y,3,129.75,17:58:01.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,3,3Y,1,112,17:52:21.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,3,3Y,2,126,17:51:26.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,2,3,3Y,3,140.25,17:51:26.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,1,2R,1,182.5,17:50:54.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,1,2R,2,53.25,17:53:16.1,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,1,2R,3,37.75,17:51:24.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,2,9R,1,79.75,18:13:08.0,1
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,2,9R,2,286.75,18:10:34.1,1
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,2,9R,3,,,1
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,3,4Y,1,139.5,18:20:31.0,
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,3,4Y,2,95.5,18:23:07.0,
